,Type,ID,Date,ID_Group,Push,Boo,Neutral,Statistics,Total messages,Popularity
99,機器人,xvideo,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
100,機器人,yang42,2019-06-2-7,M.1559460825.A.DF1,1,0,0,1,1,Good
101,機器人,Moriarty5566,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
102,機器人,ieaan,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
103,機器人,UniLion113,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
104,機器人,weirdsound32,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
105,機器人,JordanBrown,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
106,機器人,Formalhaut,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
107,機器人,weita,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
108,機器人,Ian0905566,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
109,機器人,BrynForbes,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
110,機器人,Marjanovic,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
111,機器人,TheBigS,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
112,機器人,DariusBazley,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
113,機器人,DzananMusa,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
114,機器人,l0987654321,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
115,機器人,RivenTop,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
116,機器人,petermanfcuk,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
117,機器人,SOD5566,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
118,機器人,BullyShrimp,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
119,機器人,patrick22,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
120,機器人,pinc,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
121,機器人,QueenHKASino,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
122,機器人,YoanMoncada,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
123,機器人,FateZero,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
124,機器人,yoyo56,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
125,機器人,CH3COOH,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
126,機器人,rui25,2019-06-2-7,M.1559460825.A.DF1,1,0,0,1,1,Good
127,機器人,jasonlin1992,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
128,機器人,PattyMills,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
129,機器人,Lions414,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
130,機器人,ZenFone5,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
131,機器人,TzuTaiwan,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
132,機器人,obovv,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
133,機器人,ying430y,2019-06-2-7,M.1559460825.A.DF1,1,0,0,1,1,Good
134,機器人,Watson5566,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
135,機器人,RuiHachimura,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
136,機器人,CollinSexton,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
137,機器人,Ian0905,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
138,機器人,wwa12301,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
139,機器人,pltstc,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
140,機器人,Richer5566,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
141,機器人,hotel56,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
142,機器人,Ormmmmmmmmmm,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
143,機器人,guest5566,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
144,機器人,v0o5566o0v,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
145,機器人,vOwOb,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
146,機器人,PTTisNICE,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
147,機器人,ste866,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
148,機器人,kfcvsm,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
149,機器人,s22758,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
150,機器人,doll1324,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
151,機器人,VINERY,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
152,機器人,Fizz,2019-06-2-7,M.1559466461.A.C71,1,0,0,1,1,Good
153,機器人,LostSouL5566,2019-06-2-7,M.1559466461.A.C71,1,0,0,1,1,Good
154,機器人,blogspot,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
155,機器人,a7756904,2019-06-2-7,M.1559460825.A.DF1,1,0,0,1,1,Good
156,機器人,Sherlock5566,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
157,機器人,JalenBrunson,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
158,機器人,croes318,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
159,機器人,roessnk,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
160,清除跳板帳號,a1111130512,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
161,清除跳板帳號,b12121414,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
162,清除跳板帳號,b8571453,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
163,清除跳板帳號,borisegg425,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
164,清除跳板帳號,david871004,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
165,清除跳板帳號,dnabadboy,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
166,清除跳板帳號,geffry,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
167,清除跳板帳號,happywedy,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
168,清除跳板帳號,imru8b,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
169,清除跳板帳號,innybear,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
170,清除跳板帳號,Kidd9527,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
171,清除跳板帳號,loveangela31,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
172,清除跳板帳號,ot707854,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
173,清除跳板帳號,ryan95102,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
174,清除跳板帳號,s01210,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
175,清除跳板帳號,s2468790,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
176,清除跳板帳號,s8710606,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
177,清除跳板帳號,stu774951,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
178,清除跳板帳號,sy5023188,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
179,清除跳板帳號,tk9136,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
180,清除跳板帳號,tom035,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
181,清除跳板帳號,tong2689,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
182,清除跳板帳號,tungfatsai,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
183,清除跳板帳號,tyraelhot,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
184,清除跳板帳號,vitas0302,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
185,清除跳板帳號,xu3zo6,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
186,清除跳板帳號,youyouqq,2019-11-4-1,M.1572876156.A.500,0,0,0,0,0,Normal
187,清除跳板帳號,ddt1124,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
188,清除跳板帳號,cyc57413,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
189,清除跳板帳號,barrywinters,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
190,清除跳板帳號,kangchich,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
191,清除跳板帳號,zeus88ss2000,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
192,清除跳板帳號,yakkluu,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
193,清除跳板帳號,sd760605,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
194,清除跳板帳號,vincyliu,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
195,清除跳板帳號,sean811112,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
196,清除跳板帳號,padbear24,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
197,清除跳板帳號,ambro,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
198,清除跳板帳號,tekk9527,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
199,清除跳板帳號,friendlys,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
200,清除跳板帳號,tony60911,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
201,清除跳板帳號,jerry5660,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
202,清除跳板帳號,oxgodxo7,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
203,清除跳板帳號,cupi0621,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
204,清除跳板帳號,boorish,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
205,清除跳板帳號,a0989863741,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
206,清除跳板帳號,loxa0423,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
207,清除跳板帳號,dofa8888,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
208,清除跳板帳號,roderickchu,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
209,清除跳板帳號,rtwe7451169,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
210,清除跳板帳號,st00330,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
211,清除跳板帳號,nino8183,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
212,清除跳板帳號,summer20202,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
213,清除跳板帳號,jeans0729,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
214,清除跳板帳號,js821021,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
215,清除跳板帳號,comp90162,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
216,清除跳板帳號,ijnht,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
217,清除跳板帳號,Lestant,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
218,清除跳板帳號,att858,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
219,清除跳板帳號,q1654371,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
220,清除跳板帳號,julia0204,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
221,清除跳板帳號,plextorno1,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
222,清除跳板帳號,alex900661,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
223,清除跳板帳號,sky25757,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
224,清除跳板帳號,vvv714586,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
225,清除跳板帳號,leo89855574,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
226,清除跳板帳號,fr987456,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
227,清除跳板帳號,winggame,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
228,清除跳板帳號,chonmein,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
229,清除跳板帳號,garys800,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
230,清除跳板帳號,joy850910,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
231,清除跳板帳號,jay734001,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
232,清除跳板帳號,t2t2t22003op,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
233,清除跳板帳號,potaikuo,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
234,清除跳板帳號,st24899,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
235,清除跳板帳號,mitsukake1,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
236,清除跳板帳號,la3121008,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
237,清除跳板帳號,mozo321,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
238,清除跳板帳號,ka789qw,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
239,清除跳板帳號,syh247,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
240,清除跳板帳號,hiufung0473,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
241,清除跳板帳號,ohyouccc,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
242,清除跳板帳號,FCharlotte,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
243,清除跳板帳號,two1811,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
244,清除跳板帳號,cooljony0109,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
245,清除跳板帳號,sea751130,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
246,清除跳板帳號,genkigon,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
247,清除跳板帳號,tomtom89516,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
248,清除跳板帳號,simonvuong,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
249,清除跳板帳號,ee21,2019-11-9-6,M.1573269363.A.280,0,0,0,0,0,Normal
250,清除跳板帳號,asdfk85321,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
251,清除跳板帳號,jerry09050,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
252,清除跳板帳號,snowlovepapa,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
253,清除跳板帳號,s6060921,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
254,清除跳板帳號,e5541135,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
255,清除跳板帳號,hkdnice,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
256,清除跳板帳號,gigi077381,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
257,清除跳板帳號,Rollong,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
258,清除跳板帳號,ky12585,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
259,清除跳板帳號,hgalytoby,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
260,清除跳板帳號,pkpkock,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
261,清除跳板帳號,babyes,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
262,清除跳板帳號,e12301993,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
263,清除跳板帳號,shawn840506,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
264,清除跳板帳號,annahsin,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
265,清除跳板帳號,neo750611,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
266,清除跳板帳號,jason0717,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
267,清除跳板帳號,crazy120591,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
268,清除跳板帳號,fb00313129,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
269,清除跳板帳號,teldo912,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
270,清除跳板帳號,kevin36951,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
271,清除跳板帳號,sniper780817,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
272,清除跳板帳號,will88855,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
273,清除跳板帳號,s43439355516,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
274,清除跳板帳號,marvinchen16,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
275,清除跳板帳號,adidastmac01,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
276,清除跳板帳號,livegane,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
277,清除跳板帳號,fred06012007,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
278,清除跳板帳號,eudora20576,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
279,清除跳板帳號,ettonylin,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
280,清除跳板帳號,pig0930,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
281,清除跳板帳號,pokemono,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
282,清除跳板帳號,johnson91047,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
283,清除跳板帳號,z6622600,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
284,清除跳板帳號,eclipser,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
285,清除跳板帳號,pachycepha,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
286,清除跳板帳號,keithloard,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
287,清除跳板帳號,cshong04,2019-11-9-6,M.1573267061.A.ABB,0,0,0,0,0,Normal
